ID,URL,Titre,Date_Label,Heure_Debut,Heure_Fin,Lieu,Date,Mode,Prix_Inscription,Lien_Inscription,Description,Nourriture_Presente,Boisson_Presente,Detail_Consommation
1515626,https://www.etsmtl.ca/evenement/soutenance-monsieur-laurent-davy-ndzie-enama?date=2026-03-06,Soutenance de Monsieur Laurent Davy Ndzie Enama,6 mars 2026 à 13:00,13:00,16:00,A-1841,6 mars 2026,En personne,,,Maîtrise en génie de la production automatisée,False,False,
1563794,https://www.etsmtl.ca/evenement/fiesta-volume-4?date=2026-03-07,"La Fiesta, volume 4",Du 7 mars 2026 à 20:00 au 8 mars 2026 à 03:00,20:00,03:00,Resto-Pub 100 Génies,"Du
                                                                                                7 mars 2026
                                                                                                    au 8 mars 2026",En personne,,,"Ce samedi, au Resto-Pub 100 Génies dès 20 h, c'est LA FIESTA : cette soirée de mi-session est organisée par DansÉTS avec de la musique en direct et de la danse!L'évenement phare du club DansÉTS revient le 7 mars pour une quatrième édition toujours aussi grandiose.Venez vous laisser emporter par les rythme de l'orchestre Déjà-vu , de retour pour une autre soirée enflammée sur des sons de salsa, bachata et Cumbia dans une ambiance festive et ouverte à toutes et tous.20 h : Orchestre Déjà-vu21 h : Danse sociale : a piste est à vous! Entrée gratuite - Ouvert à la communauté étudiante de l’ÉTS et au grand public.",False,False,
1274077,https://www.etsmtl.ca/evenement/match-liets-eclairs-genie-ultra-violet?date=2026-03-08,Match de la LiETS | Éclairs de Génie contre Ultra Violet,8 mars 2026 à 20:00,20:00,21:30,Resto-Pub 100 Génies,8 mars 2026,En personne,,,"Viens te changer les idées le dimanche 8 mars au Resto-Pub 100 Génies pour un match d’impro qui va te divertir.Les équipes Éclairs de Génie et Ultra Violet s'affrontent lors d'une soirée remplie de rires, d’énergie et de moments complètement inattendus. Consommations disponibles sur place;Entrée gratuite;Ambiance garantie pour décompresser et passer une soirée incroyable!",False,False,
1515628,https://www.etsmtl.ca/evenement/soutenance-monsieur-david-celestin?date=2026-03-09,Soutenance de Monsieur David Célestin,9 mars 2026 à 09:30,09:30,12:00,A-1841,9 mars 2026,En personne,,,Maîtrise en génie Concentration en gestion de l'innovation,False,False,
1451747,https://www.etsmtl.ca/evenement/exploits-sportifs?date=2026-03-09,Exploits sportifs,9 mars 2026 à 14:00,14:00,16:00,Bibliothèque : devant le mur vidéo,9 mars 2026,En personne,,,"Cet hiver, venez vivre l'action à la bibliothèque !Plongez au cœur des grands moments sportifs en assistant à la diffusion d’exploits sportifs en direct, présentés par Radio-Canada. Installez‑vous confortablement, partagez l’émotion des compétitions et vibrez avec d’autres passionnés dans une ambiance conviviale et chaleureuse. C'est un rendez‑vous incontournable! Ouvert à l’ensemble de la communauté ÉTS",False,False,
1556897,https://www.etsmtl.ca/evenement/soutenance-monsieur-ali-bahri?date=2026-03-10,Soutenance de Monsieur Ali Bahri,10 mars 2026 à 09:30,09:30,12:00,,10 mars 2026,En ligne,,,Doctorat en génie,False,False,
1467518,https://www.etsmtl.ca/evenement/mini-conference-ieee?date=2026-03-10,Mini conférence IEEE,10 mars 2026 à 12:00,12:00,13:30,A-1300,10 mars 2026,En personne,Gratuite!,https://forms.office.com/Pages/ResponsePage.aspx?id=t-OqcDufTUiPlUno-7eDwE9L1--SocJLq4K3rIeBssVURFVBUzAxNUxLTjU0MlVERjJaMEs3N0wyUC4u,"Les sociétés techniques de l'IEEE (Institute of Electrical and Electronics Engineers) vous intéressent? Ne manquez pas cette opportunité de découvrir des technologies de pointe à travers une mini-conférence de la part 2 professeurs et 4 étudiants gradués sur des sujets divers comme les ondes térahertz, les ondes RF, l’apprentissage machine et autres sujets en génie électrique et logiciel. Pizza gratuite offerte à tous les participants et participantes!",True,False,Pizza gratuite offerte à tous les participants et participantes!
1451747,https://www.etsmtl.ca/evenement/exploits-sportifs?date=2026-03-10,Exploits sportifs,10 mars 2026 à 14:00,14:00,16:00,Bibliothèque : devant le mur vidéo,10 mars 2026,En personne,,,"Cet hiver, venez vivre l'action à la bibliothèque !Plongez au cœur des grands moments sportifs en assistant à la diffusion d’exploits sportifs en direct, présentés par Radio-Canada. Installez‑vous confortablement, partagez l’émotion des compétitions et vibrez avec d’autres passionnés dans une ambiance conviviale et chaleureuse. C'est un rendez‑vous incontournable! Ouvert à l’ensemble de la communauté ÉTS",False,False,
1538796,https://www.etsmtl.ca/evenement/table-ronde-cas-transformations-technologiques?date=2026-03-11,Table ronde : Cas​ de transformations technologiques,11 mars 2026 à 08:00,08:00,09:30,Salle A-1600,11 mars 2026,En personne,,,"Le génie au cœur de la financeDes spécialistes d’institutions financières présentent des exemples concrets de transformations technologiques et partagent leur expérience sur les défis et les innovations qui façonnent le secteur financier.Présidence :Sophia Bennaceur, ex-dirigeante de la Société Générale et de Morgan Stanley à MontréalParticipant(e)s :Finance MontréalSimon Dandavino, B.Ing, Vice-président adjoint FinTech et innovations technologiquesJean-François (Jeff) Matte, Chief operations officer (COO), EZOMorgan Stanley, Ivo Panayotov, FX strategistSociété Générale, Mathieu Manoel, Chief information officerAlten, Romain Mallet, Vice-président principalCACEIS (Crédit Agricole), Eliane Maziani, Chief of staff to the CEOBNC (Banque Nationale), Lilia Jemai, MScA, M.Ing, directrice principale R&DAmundi, Julien Laplante, Directeur de l’intelligence d’affaires et de recherche en marchés",False,False,
1538797,https://www.etsmtl.ca/evenement/mot-douverture-allocutions-eclair?date=2026-03-11,Mot d’ouverture et allocutions éclair,11 mars 2026 à 10:30,10:30,11:00,Hall du pavillon A,11 mars 2026,En personne,,,"Le génie au cœur de la financeIntervention de Kathy Baig, B. Ing, Directrice générale et cheffe de la direction de l’ÉTS.La finance comme terrain d’innovation et de transformation pour les ingénieures et ingénieursAllocutions éclair : FériqueDesjardins courtage en ligneAnimateur de la journée : Pat RaymondAnimateur du Balado Financièrement Parlant et ancien président du cabinet Patria Gestion de patrimoine inc.",False,False,
1538798,https://www.etsmtl.ca/evenement/kiosques-conseils-education-financiere?date=2026-03-11,Kiosques-conseils – Éducation financière,11 mars 2026 à 11:00,11:00,13:30,Hall du pavillon A,11 mars 2026,En personne,,,Le génie au cœur de la financeEntreprises participantes :Casgrain & Compagnie LimitéeDesjardins courtage en ligneFériqueFinance-etc.Alpha DistinctionAltenStation Fintech – Finance MontréalGroupe IAKiosques spéciaux :AlgoÉTSLa finance à l’ÉTSDîner offert aux entreprises participantes.,True,False,Dîner offert aux entreprises participantes.
1337815,https://www.etsmtl.ca/evenement/worshop-vosviewer?date=2026-03-11,Atelier : VosViewer,11 mars 2026 à 11:00,11:00,12:00,Bibliothèque : Laboratoire informatique (A-0241),11 mars 2026,En personne,Inscription requise,https://etsmtl.libcal.com/event/3979444,"Un atelier bilingue présenté par la bibliothèque ÉTS.Atelier pratique pour découvrir les bases de ce logiciel de visualisation des données de publications scientifiques.Utilisez VosViewer pour:Mieux comprendre le paysage de la recherche sur un sujet précis;Mettre en évidence les principaux acteurs et actrices de la recherche (auteurs, autrices, établissements de recherche, pays);Identifier ou démontrer les collaborations;Créer des visuels pour vous aider à faire la démonstration de l'importance de vos travaux (trou dans la recherche actuelle).",False,False,
1328177,https://www.etsmtl.ca/evenement/marathon-edition-wikipedia-internet-feministe?date=2026-03-11,Marathon d'édition Wikipédia: Pour un Internet féministe,11 mars 2026 à 12:00,12:00,14:30,Bibliothèque : devant le mur vidéo,11 mars 2026,En personne,Inscription requise,https://etsmtl.libcal.com/event/3893450,"Dans le cadre de la Journée internationale des droits des femmes et de la campagne d'Art+Féminisme « À quoi ressemblerait un Internet véritablement féministe? », joignez-vous à nous pour une journée de contribution à Wikipédia afin de mettre à jour des articles sur les femmes en Sciences, Technologies, Ingénierie et Mathématiques (STIM). Nous invitons les gens de toutes les identités et expressions de genre à participer, particulièrement les femmes cis et trans, ainsi que les personnes non binaires.Un rappel aux bonnes pratiques de l'édition dans l'encyclopédie sera offert au début de l'activité (s'il s'agit de votre première participation à l'édition de Wikipédia, nous vous suggérons fortement de suivre les formations offertes, voir ci-dessous, ou de consulter la documentation disponible en ligne). Des ressources documentaires et des rafraîchissements (pizza et breuvages) seront mis à disponibilité des participant(e)s par la bibliothèque.Apportez votre ordinateur portable, un câble d’alimentation et des idées d’articles à rédiger ou à bonifier. La bibliothèque fournira également une liste d'articles qui auraient besoin d'amour si vous n'êtes pas inspiré(e)s. Si vous avez horreur de l’édition de contenu, n’hésitez pas à passer nous voir quand même et à manifester votre soutien.",True,False,Des ressources documentaires et des rafraîchissements (pizza et breuvages) seront mis à disponibilité des participant(e)s par la bibliothèque.
1563786,https://www.etsmtl.ca/evenement/stade-olympique-selon-experts?date=2026-03-11,Le stade olympique selon des experts,11 mars 2026 à 12:30,12:30,13:30,A-1302,11 mars 2026,En personne,Pizza gratuite avec inscription,https://docs.google.com/forms/d/e/1FAIpQLSc7TGkOUFVsSu_9aVAhpjvHg760ENs8KRCAvZoM5rdPI4DspQ/viewform,"Une conférence à propos du toit du stage olympique sera donnée par des experts. Si vous voulez y assister, veuillez s'il vous plaît remplir le formulaire ci-dessous. De la pizza sera fournie si vous vous inscrivez.",True,False,De la pizza sera fournie si vous vous inscrivez.
1538799,https://www.etsmtl.ca/evenement/conference-investisseur-irrationnel?date=2026-03-11,Conférence | L’investisseur irrationnel : comment vos biais cognitifs sabotent vos décisions financières,11 mars 2026 à 12:30,12:30,13:30,A-1300,11 mars 2026,En personne,,,"Le génie au cœur de la financeConférence présentée par Mohamed Ilias, B. Ing (ÉTS) développeur principal à La Caisse.",False,False,
1467511,https://www.etsmtl.ca/evenement/atelier-strategies-recherche-stages?date=2026-03-11,Atelier Stratégies de recherche de stages,11 mars 2026 à 12:30,12:30,13:30,Lien pour rencontre virtuelle,11 mars 2026,En ligne,,,"Tu as du mal à trouver un stage ou tu ne sais pas par où commencer ? Viens apprendre des méthodes simples et efficaces pour optimiser tes recherches! Nous te partagerons des stratégies pour utiliser les réseaux de façon optimale, des outils pour diversifier tes ressources et des trucs pour rendre tes candidatures vraiment percutantes.Adopte une approche proactive pour te démarquer!",False,False,
1259108,https://www.etsmtl.ca/evenement/cafe-linguistique-h26?date=2026-03-11,Café linguistique,11 mars 2026 à 12:30,12:30,13:30,Café Sans filtre - Rez-de-chaussée du pavillon F,11 mars 2026,En personne,,,"Rejoignez-nous au Café linguistique pour une pratique dynamique du français, de l'anglais, ou de la langue de votre choix, avec des pairs venant des quatre coins du globe! Ce sera également une occasion pour les personnes cherchant à améliorer leur maîtrise de la langue française dans une ambiance conviviale. Un café sera servi gratuitement et vous pourrez aussi apporter votre lunch si désiré.Le Café linguistique se tient tous les mercredis, de 12 h 30 à 13 h 30, du 14 janvier au 22 avril 2026, au Café Sans filtre du pavillon F.Geneviève ColardCoordonnatrice du Café linguistiqueServices à la vie étudiantegenevieve.colard@etsmtl.ca*Seule la communauté de l'ÉTS peut participer à cette activité.",False,True,"Rejoignez-nous au Café linguistique pour une pratique dynamique du français, de l'anglais, ou de la langue de votre choix, avec des pairs venant des quatre coins du globe! | Un café sera servi gratuitement et vous pourrez aussi apporter votre lunch si désiré. | Le Café linguistique se tient tous les mercredis, de 12 h 30 à 13 h 30, du 14 janvier au 22 avril 2026, au Café Sans filtre du pavillon F. | Geneviève ColardCoordonnatrice du Café linguistiqueServices à la vie étudiantegenevieve.colard@etsmtl.ca"
1538800,https://www.etsmtl.ca/evenement/allocutions-eclair?date=2026-03-11,Allocutions éclair,11 mars 2026 à 13:30,13:30,14:00,Hall du pavillon A,11 mars 2026,En personne,,,"Le génie au cœur de la financeAllocutions éclair de deux dirigeants d’institutions partenaires sur la distinction entre les réalités du marché et du post-marché ainsi que sur la place importante qu’occupent les ingénieures et ingénieurs sur le marché de la finance.La Caisse, Jean-François Bérubé, Ph.D., Vice-président et chef de la transformation des données, de l’analytique et de la technologie.ÉTS, Jean-François Boland, Ph.D. Ing, Directeur exécutif des affaires académiques.L’importance et la pertinence de la finance au sein du métier de l’ingénieur.",False,False,
1515630,https://www.etsmtl.ca/evenement/soutenance-monsieur-william-babin?date=2026-03-11,Soutenance de Monsieur William Babin,11 mars 2026 à 13:30,13:30,16:00,A-1841,11 mars 2026,En personne,,,Maîtrise en génie de la production automatisée,False,False,
1538801,https://www.etsmtl.ca/evenement/2e-edition-concours-simulation-boursiere-club-etudiant-algoets?date=2026-03-11,2ᵉ édition du Concours de simulation boursière par le club étudiant AlgoÉTS,11 mars 2026 à 13:45,13:45,14:00,Hall du pavillon A,11 mars 2026,En personne,,,Le génie au cœur de la financeIntroduction du club AlgoÉTS et de sa plateforme MarkÉTS.Gestion d’un portefeuille virtuel sur la plateforme MarkÉTS.Lancement du concours ouvert à toute la communauté ÉTS en collaboration avec Férique.Prix : 1ère place 750 $2ᵉ place 500 $3ᵉ place 250 $Inscriptions ouvertes sur MarkÉTS et informations disponibles au kiosque AlgoÉTS.,False,False,
1538802,https://www.etsmtl.ca/evenement/foire-recrutement-stages-emplois?date=2026-03-11,"Foire de recrutement, stages et emplois",11 mars 2026 à 14:00,14:00,17:00,Hall du pavillon A,11 mars 2026,En personne,,,Le génie au cœur de la financeEntreprises participantes :Casgrain & Compagnie LimitéeDesjardins courtage en ligneCGEFinance-etc.AltenStation Fintech – Finance MontréalGroupe IAKiosques spéciaux :AlgoÉTS,False,False,
1538803,https://www.etsmtl.ca/evenement/cocktail-reseautage?date=2026-03-11,Cocktail réseautage,11 mars 2026 à 17:00,17:00,19:00,Hall du pavillon A,11 mars 2026,En personne,,,"Le génie au cœur de la financeCocktail, goûter et réseautage.Annonces diverses sur une nouvelle orientation de notre école.",True,True,"Cocktail, goûter et réseautage."
1547522,https://www.etsmtl.ca/evenement/soutenance-monsieur-lucas-barbier?date=2026-03-12,Soutenance de Monsieur Lucas Barbier,12 mars 2026 à 09:00,09:00,12:00,A-1841,12 mars 2026,En personne,,,Maîtrise en génie mécanique,False,False,
1195716,https://www.etsmtl.ca/evenement/presentations-orales-oral-presentations?date=2026-03-12,Présentations orales,12 mars 2026 à 11:15,11:15,12:00,,12 mars 2026,En ligne,Inscription requise,https://etsmtl.libcal.com/event/3973835,"Un atelier bilingue présenté par la bibliothèque ÉTS.Comment structurer une présentation?Comment préparer un support visuel?Comment donner la présentation, même en ligne?Comment répondre aux questions?Le SARA présente fréquemment des ateliers éclair d’une durée de 20 à 30 minutes sur des thématiques variées en lien avec la communication scientifique. Les ateliers sont bilingues. N’hésitez pas à rester après la présentation et à poser des questions.",False,False,
1544460,https://www.etsmtl.ca/evenement/seance-dinformation-sejour-detudes-linternational?date=2026-03-12,Séance d’information: séjour d’études à l’international,12 mars 2026 à 12:30,12:30,13:30,Local A-1300 (près du Bureau de la registraire),12 mars 2026,Hybride,S'inscrire à la séance,https://etsmtl.jotform.com/260485544152962,"L'idée de voyager tout en poursuivant vos études vous attire?  Vous souhaitez perfectionner une langue, découvrir une nouvelle culture ou enrichir votre parcours académique?Un séjour d'études à l'étranger peut transformer votre expérience universitaire.Si vous envisagez un séjour d'études à l'hiver 2027, participez à la séance d'information qui aura lieu:Jeudi 12 mars 2026De 12 h 30 à 13 h 30Au local A-1300 (près du Bureau de la registraire)Vous y découvrirez les destinations possibles, les critères d'admissibilité, les démarches à prévoir et les options de financement.Pour en savoir plus, consultez la page Web sur les séjours d'études.",False,False,
1515720,https://www.etsmtl.ca/evenement/midi-atelier-photographie-argentique?date=2026-03-12,Midi-atelier : photographie argentique,12 mars 2026 à 12:30,12:30,13:30,Bibliothèque : Espace 3C (A-0250),12 mars 2026,En personne,Inscription requise,https://etsmtl.libcal.com/event/3898736,"Apprenez l'art de la photographie à son apogée. Libérez-vous des écrans et de l'électronique. Apprenez les techniques pour prendre des photos avec de la pellicule, comme les journalistes et les photographes de l'époque.Si vous en avez un, nous vous invitons à apporter votre appareil photo argentique pour l'atelier.Un atelier présenté par le pôle photographie de l'Exutoire en collaboration avec la bibliothèque ÉTS.",False,False,
1515606,https://www.etsmtl.ca/evenement/soutenance-monsieur-valentin-vallageas?date=2026-03-12,Soutenance de Monsieur Valentin Vallageas,12 mars 2026 à 14:00,14:00,16:30,A-1841,12 mars 2026,En personne,,,Doctorat en génie,False,False,
1405914,https://www.etsmtl.ca/evenement/cours-groupe-gratuit-cs?date=2026-03-13,Cours de groupe gratuit au Centre sportif ÉTS,13 mars 2026 à 07:00,07:00,07:45,Centre sportif - 3e étage - Pavillon B,13 mars 2026,En personne,,,"Bonne nouvelle pour toute la communauté étudiante de l’ÉTS!Du 9 janvier au 24 avril 2026, le Centre sportif ÉTS t'offre un cours de groupe GRATUIT tous les vendredis matins de 7 h à 7 h 45.Entraînement fonctionnel / Cross training;Accessible à tous les niveaux;Gratuit pour TOUTE la session;Au Centre sportif de l’ÉTS.Que tu sois du matin ou que tu viennes te réveiller en bougeant, viens t’entraîner avec nous et bien commencer ta journée!Cette activité est gratuite pour toute la communauté étudiante de l'ÉTS.",False,False,
1229549,https://www.etsmtl.ca/evenement/24-h-creation-raconteurs-dangles?date=2026-03-13,24 h de création - Un spectacle de théâtre à créer en une fin de semaine avec les Raconteurs d'Angles,13 mars 2026 à 18:00,18:00,21:00,"50, Chemin Lac en Coeur, Lac-aux-Sables",13 mars 2026,En personne,"100 $ : inscription jusqu'au 10 mars, midi",https://lepointdevente.com/billets/24h-creation-hiv026?lang=fr,"Créer un spectacle d'une trentaine de minutes en 24 h, est-ce possible? C'est le défi que relèvera les Raconteurs d'Angles, troupe de théâtre de création. Plaisir et rencontres garanties!Pour cette activité, nous pourrons compter sur la supervision d'Audrey Leclair.Nourriture et transport fourni, il ne manque plus que votre créativité ainsi que vos effets personnels pour dormir comme en camping et rester propre!Inscrivez-vous d'ici le 10 mars, midi.Le prix de 100 $ pour participer servira à couvrir les frais encourus par l’offre de l’activité.Les Raconteurs d'Anglestheatre@etsmtl.ca | raconteurs.etsmtl.ca",True,False,"Nourriture et transport fourni, il ne manque plus que votre créativité ainsi que vos effets personnels pour dormir comme en camping et rester propre!"
1229549,https://www.etsmtl.ca/evenement/24-h-creation-raconteurs-dangles?date=2026-03-14,24 h de création - Un spectacle de théâtre à créer en une fin de semaine avec les Raconteurs d'Angles,14 mars 2026 à 10:00,10:00,18:00,"50, Chemin Lac en Coeur, Lac-aux-Sables",14 mars 2026,En personne,"100 $ : inscription jusqu'au 10 mars, midi",https://lepointdevente.com/billets/24h-creation-hiv026?lang=fr,"Créer un spectacle d'une trentaine de minutes en 24 h, est-ce possible? C'est le défi que relèvera les Raconteurs d'Angles, troupe de théâtre de création. Plaisir et rencontres garanties!Pour cette activité, nous pourrons compter sur la supervision d'Audrey Leclair.Nourriture et transport fourni, il ne manque plus que votre créativité ainsi que vos effets personnels pour dormir comme en camping et rester propre!Inscrivez-vous d'ici le 10 mars, midi.Le prix de 100 $ pour participer servira à couvrir les frais encourus par l’offre de l’activité.Les Raconteurs d'Anglestheatre@etsmtl.ca | raconteurs.etsmtl.ca",True,False,"Nourriture et transport fourni, il ne manque plus que votre créativité ainsi que vos effets personnels pour dormir comme en camping et rester propre!"
